line_id,line_name,outbound_origin,outbound_destination,source_file
ABLO:PK0003436:5:404,404,Crawford Crescent (->S) Coulsdon,Westway Common (opp) Caterham,404-21-404-_-y05-2_1.xml
ABLO:UZ000ABLO:404:404,404,,,tfl_21-404-_-y05-6_qyPH39c.xml
ABLO:UZ000ABLO:404:404,404,,,tfl_21-404-_-y05-7.xml
ABLO:PK0003436:2:407,407,,,tfl_21-407-_-y05-11_HygcEjI.xml
ABLO:PK0003436:4:464,464,,,tfl_21-464-_-y05-55535.xml
ABLO:PK0003436:4:464,464,,,tfl_21-464-_-y05-55538.xml
ABLO:PK0003436:4:464,464,,,tfl_21-464-_-y05-55539.xml
ABLO:PK0001815:90:465,465,,,tfl_21-465-_-y05-7_b3z8CFQ.xml
ABLO:PK0001815:15:R68,R68,,,tfl_21-R68-_-y05-58885.xml
ABLO:PK0001815:15:R68,R68,,,tfl_21-R68-_-y05-58885_glMYlIz.xml
ABLO:PK0001816:107:S1,S1,,,tfl_21-S1-_-y05-59996.xml
