vehicle_journey_code,days_of_week,bank_holidays_operation,bank_holidays_non_operation,source_file
VJ1,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ2,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ3,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ4,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ5,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ6,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ7,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ8,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ9,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ10,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ11,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ12,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ13,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
