operator_id,national_operator_code,operator_code,operator_short_name,licence_number,source_file
CX,ABLO,CX,ABELLIO LONDON LIMITED,PK0003436,404-21-404-_-y05-2_1.xml
OId_CX,ABLO,CX,Transport UK,UZ000ABLO,tfl_21-404-_-y05-6_qyPH39c.xml
OId_CX,ABLO,CX,Transport UK,UZ000ABLO,tfl_21-404-_-y05-7.xml
OId_CX,ABLO,CX,Transport UK,PK0003436,tfl_21-407-_-y05-11_HygcEjI.xml
OId_CX,ABLO,CX,Transport UK,PK0003436,tfl_21-464-_-y05-55535.xml
OId_CX,ABLO,CX,Transport UK,PK0003436,tfl_21-464-_-y05-55538.xml
OId_CX,ABLO,CX,Transport UK,PK0003436,tfl_21-464-_-y05-55539.xml
OId_TE,ABLO,TE,Transport UK,PK0001815,tfl_21-465-_-y05-7_b3z8CFQ.xml
OId_TE,ABLO,TE,Transport UK,PK0001815,tfl_21-R68-_-y05-58885.xml
OId_TE,ABLO,TE,Transport UK,PK0001815,tfl_21-R68-_-y05-58885_glMYlIz.xml
OId_CX,ABLO,CX,Transport UK,PK0001816,tfl_21-S1-_-y05-59996.xml
