distance,file_name,from_stop,route_link_id,route_section_id,to_stop
185,404-21-404-_-y05-2_1.xml,490002178Z,RL1,RS1,490002177Z
244,404-21-404-_-y05-2_1.xml,490002177Z,RL2,RS1,490002176Z
140,404-21-404-_-y05-2_1.xml,490002176Z,RL3,RS1,490002175Z
142,404-21-404-_-y05-2_1.xml,490002175Z,RL4,RS1,490002174Z
722,404-21-404-_-y05-2_1.xml,490002174Z,RL5,RS1,490002189Z
91,404-21-404-_-y05-2_1.xml,490002189Z,RL6,RS1,490001253B
269,404-21-404-_-y05-2_1.xml,490001253B,RL7,RS1,490005637C
241,404-21-404-_-y05-2_1.xml,490005637C,RL8,RS1,490009202D
224,404-21-404-_-y05-2_1.xml,490009202D,RL9,RS1,490001072M
196,404-21-404-_-y05-2_1.xml,490001072M,RL10,RS1,490006183H
180,404-21-404-_-y05-2_1.xml,490006183H,RL11,RS1,490009684N
197,404-21-404-_-y05-2_1.xml,490009684N,RL12,RS1,490010285E
146,404-21-404-_-y05-2_1.xml,490010285E,RL13,RS1,490011820E
137,404-21-404-_-y05-2_1.xml,490011820E,RL14,RS1,49003176N1
174,404-21-404-_-y05-2_1.xml,49003176N1,RL15,RS1,490004116N
418,404-21-404-_-y05-2_1.xml,490004116N,RL16,RS1,490005639S
272,404-21-404-_-y05-2_1.xml,490005639S,RL17,RS1,490012649W
288,404-21-404-_-y05-2_1.xml,490012649W,RL18,RS1,490005641S
248,404-21-404-_-y05-2_1.xml,490005641S,RL19,RS1,490013199E
406,404-21-404-_-y05-2_1.xml,490013199E,RL20,RS1,490010535S
379,404-21-404-_-y05-2_1.xml,490010535S,RL21,RS1,490013317S2
340,404-21-404-_-y05-2_1.xml,490013317S2,RL22,RS1,490002184Z
192,404-21-404-_-y05-2_1.xml,490002184Z,RL23,RS1,490002180Z
190,404-21-404-_-y05-2_1.xml,490002180Z,RL24,RS1,490002179Z
207,404-21-404-_-y05-2_1.xml,490002179Z,RL25,RS1,490002181Z
221,404-21-404-_-y05-2_1.xml,490002181Z,RL26,RS1,490002182Z
172,404-21-404-_-y05-2_1.xml,490002182Z,RL27,RS1,490002183Z
212,404-21-404-_-y05-2_1.xml,490002183Z,RL28,RS1,490002185Z
282,404-21-404-_-y05-2_1.xml,490002185Z,RL29,RS1,490015542S1
217,404-21-404-_-y05-2_1.xml,490015542S1,RL30,RS1,490005649E
179,404-21-404-_-y05-2_1.xml,490005649E,RL31,RS1,490008679N
238,404-21-404-_-y05-2_1.xml,490008679N,RL32,RS1,490015305W
136,404-21-404-_-y05-2_1.xml,490015305W,RL33,RS1,490007931E
282,404-21-404-_-y05-2_1.xml,490007931E,RL34,RS1,490014106S1
100,404-21-404-_-y05-2_1.xml,490014106S1,RL35,RS1,490004859S
215,404-21-404-_-y05-2_1.xml,490004859S,RL36,RS1,490012093S
219,404-21-404-_-y05-2_1.xml,490012093S,RL37,RS1,490008324S
106,404-21-404-_-y05-2_1.xml,490008324S,RL38,RS1,490014107E
184,404-21-404-_-y05-2_1.xml,490014107E,RL39,RS1,490008895W
543,404-21-404-_-y05-2_1.xml,490008895W,RL40,RS1,490005638S
291,404-21-404-_-y05-2_1.xml,490005638S,RL41,RS1,40004410093B
430,404-21-404-_-y05-2_1.xml,40004410093B,RL42,RS1,40004410091B
325,404-21-404-_-y05-2_1.xml,40004410091B,RL43,RS1,40004410038A
429,404-21-404-_-y05-2_1.xml,40004410038A,RL44,RS1,40004410037A
157,404-21-404-_-y05-2_1.xml,40004410037A,RL45,RS2,40004410088B
238,404-21-404-_-y05-2_1.xml,40004410088B,RL46,RS2,40004410089B
321,404-21-404-_-y05-2_1.xml,40004410089B,RL47,RS2,40004410090A
411,404-21-404-_-y05-2_1.xml,40004410090A,RL48,RS2,40004410091A
363,404-21-404-_-y05-2_1.xml,40004410091A,RL49,RS2,40004410092A
151,404-21-404-_-y05-2_1.xml,40004410092A,RL50,RS2,40004410093A
361,404-21-404-_-y05-2_1.xml,40004410093A,RL51,RS2,490005638N
525,404-21-404-_-y05-2_1.xml,490005638N,RL52,RS2,490008895N
97,404-21-404-_-y05-2_1.xml,490008895N,RL53,RS2,490008495E
136,404-21-404-_-y05-2_1.xml,490008495E,RL54,RS2,490014107N
170,404-21-404-_-y05-2_1.xml,490014107N,RL55,RS2,490008324N
475,404-21-404-_-y05-2_1.xml,490008324N,RL56,RS2,490014106S2
153,404-21-404-_-y05-2_1.xml,490014106S2,RL57,RS2,490007931W
