route_link_id,from_stop,to_stop,distance,source_file
RL1,490002178Z,490002177Z,185,404-21-404-_-y05-2_1.xml
RL2,490002177Z,490002176Z,244,404-21-404-_-y05-2_1.xml
RL3,490002176Z,490002175Z,140,404-21-404-_-y05-2_1.xml
RL4,490002175Z,490002174Z,142,404-21-404-_-y05-2_1.xml
RL5,490002174Z,490002189Z,722,404-21-404-_-y05-2_1.xml
RL6,490002189Z,490001253B,91,404-21-404-_-y05-2_1.xml
RL7,490001253B,490005637C,269,404-21-404-_-y05-2_1.xml
RL8,490005637C,490009202D,241,404-21-404-_-y05-2_1.xml
RL9,490009202D,490001072M,224,404-21-404-_-y05-2_1.xml
RL10,490001072M,490006183H,196,404-21-404-_-y05-2_1.xml
RL11,490006183H,490009684N,180,404-21-404-_-y05-2_1.xml
RL12,490009684N,490010285E,197,404-21-404-_-y05-2_1.xml
RL13,490010285E,490011820E,146,404-21-404-_-y05-2_1.xml
RL14,490011820E,49003176N1,137,404-21-404-_-y05-2_1.xml
RL15,49003176N1,490004116N,174,404-21-404-_-y05-2_1.xml
RL16,490004116N,490005639S,418,404-21-404-_-y05-2_1.xml
RL17,490005639S,490012649W,272,404-21-404-_-y05-2_1.xml
RL18,490012649W,490005641S,288,404-21-404-_-y05-2_1.xml
RL19,490005641S,490013199E,248,404-21-404-_-y05-2_1.xml
RL20,490013199E,490010535S,406,404-21-404-_-y05-2_1.xml
RL21,490010535S,490013317S2,379,404-21-404-_-y05-2_1.xml
RL22,490013317S2,490002184Z,340,404-21-404-_-y05-2_1.xml
RL23,490002184Z,490002180Z,192,404-21-404-_-y05-2_1.xml
RL24,490002180Z,490002179Z,190,404-21-404-_-y05-2_1.xml
RL25,490002179Z,490002181Z,207,404-21-404-_-y05-2_1.xml
RL26,490002181Z,490002182Z,221,404-21-404-_-y05-2_1.xml
RL27,490002182Z,490002183Z,172,404-21-404-_-y05-2_1.xml
RL28,490002183Z,490002185Z,212,404-21-404-_-y05-2_1.xml
RL29,490002185Z,490015542S1,282,404-21-404-_-y05-2_1.xml
RL30,490015542S1,490005649E,217,404-21-404-_-y05-2_1.xml
RL31,490005649E,490008679N,179,404-21-404-_-y05-2_1.xml
RL32,490008679N,490015305W,238,404-21-404-_-y05-2_1.xml
RL33,490015305W,490007931E,136,404-21-404-_-y05-2_1.xml
RL34,490007931E,490014106S1,282,404-21-404-_-y05-2_1.xml
RL35,490014106S1,490004859S,100,404-21-404-_-y05-2_1.xml
RL36,490004859S,490012093S,215,404-21-404-_-y05-2_1.xml
RL37,490012093S,490008324S,219,404-21-404-_-y05-2_1.xml
RL38,490008324S,490014107E,106,404-21-404-_-y05-2_1.xml
RL39,490014107E,490008895W,184,404-21-404-_-y05-2_1.xml
RL40,490008895W,490005638S,543,404-21-404-_-y05-2_1.xml
RL41,490005638S,40004410093B,291,404-21-404-_-y05-2_1.xml
RL42,40004410093B,40004410091B,430,404-21-404-_-y05-2_1.xml
RL43,40004410091B,40004410038A,325,404-21-404-_-y05-2_1.xml
RL44,40004410038A,40004410037A,429,404-21-404-_-y05-2_1.xml
RL45,40004410037A,40004410088B,157,404-21-404-_-y05-2_1.xml
RL46,40004410088B,40004410089B,238,404-21-404-_-y05-2_1.xml
RL47,40004410089B,40004410090A,321,404-21-404-_-y05-2_1.xml
RL48,40004410090A,40004410091A,411,404-21-404-_-y05-2_1.xml
