description,file_name,route_id,route_section_ref
Crawford Crescent - Westway_ Caterham,404-21-404-_-y05-2_1.xml,RT1,RS1
Westway_ Caterham - Crawford Crescent,404-21-404-_-y05-2_1.xml,RT2,RS2
Westway Caterham - Crawford Crescent,tfl_21-404-_-y05-6_qyPH39c.xml,R_21-404-_-y05-6-I-1,RS_21-404-_-y05-6-I-1
Crawford Crescent - Westway Caterham,tfl_21-404-_-y05-6_qyPH39c.xml,R_21-404-_-y05-6-O-2,RS_21-404-_-y05-6-O-2
Westway Caterham - Crawford Crescent,tfl_21-404-_-y05-7.xml,R_21-404-_-y05-7-I-1,RS_21-404-_-y05-7-I-1
Crawford Crescent - Westway Caterham,tfl_21-404-_-y05-7.xml,R_21-404-_-y05-7-O-2,RS_21-404-_-y05-7-O-2
Caterham Valley - Sutton / Marshalls Road,tfl_21-407-_-y05-11_HygcEjI.xml,R_21-407-_-y05-11-I-1,RS_21-407-_-y05-11-I-1
Sutton / Marshalls Road - Caterham Valley,tfl_21-407-_-y05-11_HygcEjI.xml,R_21-407-_-y05-11-O-2,RS_21-407-_-y05-11-O-2
New Addington Tram Stop - Biggin Hill / Black Horse,tfl_21-464-_-y05-55535.xml,R_21-464-_-y05-55535-I-1,RS_21-464-_-y05-55535-I-1
New Addington Tram Stop - Tatsfield Village / Old Ship,tfl_21-464-_-y05-55535.xml,R_21-464-_-y05-55535-I-2,RS_21-464-_-y05-55535-I-1
Biggin Hill / Black Horse - New Addington Tram Stop,tfl_21-464-_-y05-55535.xml,R_21-464-_-y05-55535-O-3,RS_21-464-_-y05-55535-O-3
Tatsfield Village / Old Ship - New Addington Tram Stop,tfl_21-464-_-y05-55535.xml,R_21-464-_-y05-55535-O-4,RS_21-464-_-y05-55535-O-4
New Addington Tram Stop - Biggin Hill / Black Horse,tfl_21-464-_-y05-55538.xml,R_21-464-_-y05-55538-I-1,RS_21-464-_-y05-55538-I-1
New Addington Tram Stop - Tatsfield Village / Old Ship,tfl_21-464-_-y05-55538.xml,R_21-464-_-y05-55538-I-2,RS_21-464-_-y05-55538-I-1
Tatsfield Village / Old Ship - New Addington Tram Stop,tfl_21-464-_-y05-55538.xml,R_21-464-_-y05-55538-O-3,RS_21-464-_-y05-55538-O-3
New Addington Tram Stop - Biggin Hill / Black Horse,tfl_21-464-_-y05-55539.xml,R_21-464-_-y05-55539-I-1,RS_21-464-_-y05-55539-I-1
New Addington Tram Stop - Tatsfield Village / Old Ship,tfl_21-464-_-y05-55539.xml,R_21-464-_-y05-55539-I-2,RS_21-464-_-y05-55539-I-1
Tatsfield Village / Old Ship - New Addington Tram Stop,tfl_21-464-_-y05-55539.xml,R_21-464-_-y05-55539-O-3,RS_21-464-_-y05-55539-O-3
Townfield Court - Cromwell Road Bus Station,tfl_21-465-_-y05-7_b3z8CFQ.xml,R_21-465-_-y05-7-I-1,RS_21-465-_-y05-7-I-1
Townfield Court - Cromwell Road Bus Station,tfl_21-465-_-y05-7_b3z8CFQ.xml,R_21-465-_-y05-7-I-2,RS_21-465-_-y05-7-I-1
Cromwell Road Bus Station - South Street/ Rose Hill,tfl_21-465-_-y05-7_b3z8CFQ.xml,R_21-465-_-y05-7-O-3,RS_21-465-_-y05-7-O-2
Hampton Court - Kew Retail Park,tfl_21-R68-_-y05-58885.xml,R_21-R68-_-y05-58885-I-1,RS_21-R68-_-y05-58885-I-1
Kew Retail Park - Hampton Court,tfl_21-R68-_-y05-58885.xml,R_21-R68-_-y05-58885-O-2,RS_21-R68-_-y05-58885-O-2
Hampton Court - Kew Retail Park,tfl_21-R68-_-y05-58885_glMYlIz.xml,R_21-R68-_-y05-58885-I-1,RS_21-R68-_-y05-58885-I-1
Kew Retail Park - Hampton Court,tfl_21-R68-_-y05-58885_glMYlIz.xml,R_21-R68-_-y05-58885-O-2,RS_21-R68-_-y05-58885-O-2
Victoria Road / Lavender Fields - Banstead / Marks & Spencer,tfl_21-S1-_-y05-59996.xml,R_21-S1-_-y05-59996-I-1,RS_21-S1-_-y05-59996-I-1
Banstead / Marks & Spencer - Victoria Road / Lavender Fields,tfl_21-S1-_-y05-59996.xml,R_21-S1-_-y05-59996-O-2,RS_21-S1-_-y05-59996-O-2
