route_id,route_description,route_section_ref,source_file
RT1,Crawford Crescent - Westway_ Caterham,RS1,404-21-404-_-y05-2_1.xml
RT2,Westway_ Caterham - Crawford Crescent,RS2,404-21-404-_-y05-2_1.xml
R_21-404-_-y05-6-I-1,Westway Caterham - Crawford Crescent,RS_21-404-_-y05-6-I-1,tfl_21-404-_-y05-6_qyPH39c.xml
R_21-404-_-y05-6-O-2,Crawford Crescent - Westway Caterham,RS_21-404-_-y05-6-O-2,tfl_21-404-_-y05-6_qyPH39c.xml
R_21-404-_-y05-7-I-1,Westway Caterham - Crawford Crescent,RS_21-404-_-y05-7-I-1,tfl_21-404-_-y05-7.xml
R_21-404-_-y05-7-O-2,Crawford Crescent - Westway Caterham,RS_21-404-_-y05-7-O-2,tfl_21-404-_-y05-7.xml
R_21-407-_-y05-11-I-1,Caterham Valley - Sutton / Marshalls Road,RS_21-407-_-y05-11-I-1,tfl_21-407-_-y05-11_HygcEjI.xml
R_21-407-_-y05-11-O-2,Sutton / Marshalls Road - Caterham Valley,RS_21-407-_-y05-11-O-2,tfl_21-407-_-y05-11_HygcEjI.xml
R_21-464-_-y05-55535-I-1,New Addington Tram Stop - Biggin Hill / Black Horse,RS_21-464-_-y05-55535-I-1,tfl_21-464-_-y05-55535.xml
R_21-464-_-y05-55535-I-2,New Addington Tram Stop - Tatsfield Village / Old Ship,RS_21-464-_-y05-55535-I-1,tfl_21-464-_-y05-55535.xml
R_21-464-_-y05-55535-O-3,Biggin Hill / Black Horse - New Addington Tram Stop,RS_21-464-_-y05-55535-O-3,tfl_21-464-_-y05-55535.xml
R_21-464-_-y05-55535-O-4,Tatsfield Village / Old Ship - New Addington Tram Stop,RS_21-464-_-y05-55535-O-4,tfl_21-464-_-y05-55535.xml
R_21-464-_-y05-55538-I-1,New Addington Tram Stop - Biggin Hill / Black Horse,RS_21-464-_-y05-55538-I-1,tfl_21-464-_-y05-55538.xml
R_21-464-_-y05-55538-I-2,New Addington Tram Stop - Tatsfield Village / Old Ship,RS_21-464-_-y05-55538-I-1,tfl_21-464-_-y05-55538.xml
R_21-464-_-y05-55538-O-3,Tatsfield Village / Old Ship - New Addington Tram Stop,RS_21-464-_-y05-55538-O-3,tfl_21-464-_-y05-55538.xml
R_21-464-_-y05-55539-I-1,New Addington Tram Stop - Biggin Hill / Black Horse,RS_21-464-_-y05-55539-I-1,tfl_21-464-_-y05-55539.xml
R_21-464-_-y05-55539-I-2,New Addington Tram Stop - Tatsfield Village / Old Ship,RS_21-464-_-y05-55539-I-1,tfl_21-464-_-y05-55539.xml
R_21-464-_-y05-55539-O-3,Tatsfield Village / Old Ship - New Addington Tram Stop,RS_21-464-_-y05-55539-O-3,tfl_21-464-_-y05-55539.xml
R_21-465-_-y05-7-I-1,Townfield Court - Cromwell Road Bus Station,RS_21-465-_-y05-7-I-1,tfl_21-465-_-y05-7_b3z8CFQ.xml
R_21-465-_-y05-7-I-2,Townfield Court - Cromwell Road Bus Station,RS_21-465-_-y05-7-I-1,tfl_21-465-_-y05-7_b3z8CFQ.xml
R_21-465-_-y05-7-O-3,Cromwell Road Bus Station - South Street/ Rose Hill,RS_21-465-_-y05-7-O-2,tfl_21-465-_-y05-7_b3z8CFQ.xml
R_21-R68-_-y05-58885-I-1,Hampton Court - Kew Retail Park,RS_21-R68-_-y05-58885-I-1,tfl_21-R68-_-y05-58885.xml
R_21-R68-_-y05-58885-O-2,Kew Retail Park - Hampton Court,RS_21-R68-_-y05-58885-O-2,tfl_21-R68-_-y05-58885.xml
R_21-R68-_-y05-58885-I-1,Hampton Court - Kew Retail Park,RS_21-R68-_-y05-58885-I-1,tfl_21-R68-_-y05-58885_glMYlIz.xml
R_21-R68-_-y05-58885-O-2,Kew Retail Park - Hampton Court,RS_21-R68-_-y05-58885-O-2,tfl_21-R68-_-y05-58885_glMYlIz.xml
R_21-S1-_-y05-59996-I-1,Victoria Road / Lavender Fields - Banstead / Marks & Spencer,RS_21-S1-_-y05-59996-I-1,tfl_21-S1-_-y05-59996.xml
R_21-S1-_-y05-59996-O-2,Banstead / Marks & Spencer - Victoria Road / Lavender Fields,RS_21-S1-_-y05-59996-O-2,tfl_21-S1-_-y05-59996.xml
