destination,destination_display,direction,file_name,journey_pattern_index,operator_ref,origin,route_ref,section_refs,service_code
Westway Common (opp) Caterham,Westway Common (opp) Caterham,outbound,404-21-404-_-y05-2_1.xml,1,CX,Crawford Crescent (->S) Coulsdon,RT1,JPS1,PK0003436:5
Westway Common (opp) Caterham,Westway Common (opp) Caterham,outbound,404-21-404-_-y05-2_1.xml,2,CX,Crawford Crescent (->S) Coulsdon,RT1,JPS2,PK0003436:5
Westway Common (opp) Caterham,Westway Common (opp) Caterham,outbound,404-21-404-_-y05-2_1.xml,3,CX,Crawford Crescent (->S) Coulsdon,RT1,JPS3,PK0003436:5
Westway Common (opp) Caterham,Westway Common (opp) Caterham,outbound,404-21-404-_-y05-2_1.xml,4,CX,Crawford Crescent (->S) Coulsdon,RT1,JPS4,PK0003436:5
Westway Common (opp) Caterham,Crawford Crescent (->S) Coulsdon,inbound,404-21-404-_-y05-2_1.xml,5,CX,Crawford Crescent (->S) Coulsdon,RT2,JPS5,PK0003436:5
Westway Common (opp) Caterham,Crawford Crescent (->S) Coulsdon,inbound,404-21-404-_-y05-2_1.xml,6,CX,Crawford Crescent (->S) Coulsdon,RT2,JPS6,PK0003436:5
Westway Common (opp) Caterham,Crawford Crescent (->S) Coulsdon,inbound,404-21-404-_-y05-2_1.xml,7,CX,Crawford Crescent (->S) Coulsdon,RT2,JPS7,PK0003436:5
Westway Common (opp) Caterham,Crawford Crescent (->S) Coulsdon,inbound,404-21-404-_-y05-2_1.xml,8,CX,Crawford Crescent (->S) Coulsdon,RT2,JPS8,PK0003436:5
Westway Common (opp) Caterham,Crawford Crescent (->S) Coulsdon,inbound,404-21-404-_-y05-2_1.xml,9,CX,Crawford Crescent (->S) Coulsdon,RT2,JPS9,PK0003436:5
Westway Common (opp) Caterham,Crawford Crescent (->S) Coulsdon,inbound,404-21-404-_-y05-2_1.xml,10,CX,Crawford Crescent (->S) Coulsdon,RT2,JPS10,PK0003436:5
Westway Common (opp) Caterham,Westway Common (opp) Caterham,outbound,404-21-404-_-y05-2_1.xml,11,CX,Crawford Crescent (->S) Coulsdon,RT1,JPS11,PK0003436:5
Westway Common (opp) Caterham,Westway Common (opp) Caterham,outbound,404-21-404-_-y05-2_1.xml,12,CX,Crawford Crescent (->S) Coulsdon,RT1,JPS12,PK0003436:5
Westway Common (opp) Caterham,Westway Common (opp) Caterham,outbound,404-21-404-_-y05-2_1.xml,13,CX,Crawford Crescent (->S) Coulsdon,RT1,JPS13,PK0003436:5
Westway Common (opp) Caterham,Westway Common (opp) Caterham,outbound,404-21-404-_-y05-2_1.xml,14,CX,Crawford Crescent (->S) Coulsdon,RT1,JPS14,PK0003436:5
Westway Common (opp) Caterham,Crawford Crescent (->S) Coulsdon,inbound,404-21-404-_-y05-2_1.xml,15,CX,Crawford Crescent (->S) Coulsdon,RT2,JPS15,PK0003436:5
Westway Common (opp) Caterham,Crawford Crescent (->S) Coulsdon,inbound,404-21-404-_-y05-2_1.xml,16,CX,Crawford Crescent (->S) Coulsdon,RT2,JPS16,PK0003436:5
Westway Common (opp) Caterham,Westway Common (opp) Caterham,outbound,404-21-404-_-y05-2_1.xml,17,CX,Crawford Crescent (->S) Coulsdon,RT1,JPS17,PK0003436:5
Westway Common (opp) Caterham,Crawford Crescent (->S) Coulsdon,inbound,404-21-404-_-y05-2_1.xml,18,CX,Crawford Crescent (->S) Coulsdon,RT2,JPS18,PK0003436:5
Westway Common (opp) Caterham,Crawford Crescent (->S) Coulsdon,inbound,404-21-404-_-y05-2_1.xml,19,CX,Crawford Crescent (->S) Coulsdon,RT2,JPS19,PK0003436:5
