end_date,file_name,line_ref,public_use,registered_operator_ref,service_code,service_description,service_id,start_date
,404-21-404-_-y05-2_1.xml,,true,CX,PK0003436:5,,,2025-03-04
2025-11-28,tfl_21-404-_-y05-6_qyPH39c.xml,,true,OId_CX,UZ000ABLO:404,"Coulsdon, Cane Hill - Coulsdon South Station - Tollers Lane - Coulsdon Common - Caterham-on-the-Hill",,2025-11-22
,tfl_21-404-_-y05-7.xml,,true,OId_CX,UZ000ABLO:404,"Coulsdon, Cane Hill - Coulsdon South Station - Tollers Lane - Coulsdon Common - Caterham-on-the-Hill",,2025-11-29
,tfl_21-407-_-y05-11_HygcEjI.xml,,true,OId_CX,PK0003436:2,Sutton - Wallington Green - Croydon - Purley - Caterham,,2025-11-22
,tfl_21-464-_-y05-55535.xml,,true,OId_CX,PK0003436:4,Tatsfield - Sunningvale Avenue - Biggin Hill - Saltbox Hill - New Addington,,2025-04-26
2025-11-28,tfl_21-464-_-y05-55538.xml,,true,OId_CX,PK0003436:4,Tatsfield - Sunningvale Avenue - Biggin Hill - Saltbox Hill - New Addington,,2025-11-22
,tfl_21-464-_-y05-55539.xml,,true,OId_CX,PK0003436:4,Tatsfield - Sunningvale Avenue - Biggin Hill - Saltbox Hill - New Addington,,2025-11-29
,tfl_21-465-_-y05-7_b3z8CFQ.xml,,true,OId_TE,PK0001815:90,"Kingston, Cromwell Road - Dorking, South Street",,2025-11-22
,tfl_21-R68-_-y05-58885.xml,,true,OId_TE,PK0001815:15,Kew Retail Park -  Richmond - Twickenham - Teddington - Hampton Court,,2025-05-03
,tfl_21-R68-_-y05-58885_glMYlIz.xml,,true,OId_TE,PK0001815:15,Kew Retail Park -  Richmond - Twickenham - Teddington - Hampton Court,,2025-11-22
,tfl_21-S1-_-y05-59996.xml,,true,OId_CX,PK0001816:107,"Banstead - Downs Road - Sutton Station and Town Centre - St Helier Hospital - Rose Hill - Mitcham Junction - Mitcham, Lavender Fields",,2025-11-29
