service_code,private_code,operator_ref,start_date,origin,destination,source_file
PK0003436:5,21-404-_-y05-2,CX,2025-03-04,Crawford Crescent (->S) Coulsdon,Westway Common (opp) Caterham,404-21-404-_-y05-2_1.xml
UZ000ABLO:404,21-404-_-y05-6,OId_CX,2025-11-22,Crawford Crescent,Westway Caterham,tfl_21-404-_-y05-6_qyPH39c.xml
UZ000ABLO:404,21-404-_-y05-7,OId_CX,2025-11-29,Crawford Crescent,Westway Caterham,tfl_21-404-_-y05-7.xml
PK0003436:2,21-407-_-y05-11,OId_CX,2025-11-22,Sutton / Marshalls Road,Caterham Valley,tfl_21-407-_-y05-11_HygcEjI.xml
PK0003436:4,21-464-_-y05-55535,OId_CX,2025-04-26,Tatsfield Village / Old Ship,New Addington Tram Stop,tfl_21-464-_-y05-55535.xml
PK0003436:4,21-464-_-y05-55538,OId_CX,2025-11-22,Tatsfield Village / Old Ship,New Addington Tram Stop,tfl_21-464-_-y05-55538.xml
PK0003436:4,21-464-_-y05-55539,OId_CX,2025-11-29,Tatsfield Village / Old Ship,New Addington Tram Stop,tfl_21-464-_-y05-55539.xml
PK0001815:90,21-465-_-y05-7,OId_TE,2025-11-22,Cromwell Road Bus Station,South Street/ Rose Hill,tfl_21-465-_-y05-7_b3z8CFQ.xml
PK0001815:15,21-R68-_-y05-58885,OId_TE,2025-05-03,Kew Retail Park,Hampton Court,tfl_21-R68-_-y05-58885.xml
PK0001815:15,21-R68-_-y05-58885,OId_TE,2025-11-22,Kew Retail Park,Hampton Court,tfl_21-R68-_-y05-58885_glMYlIz.xml
PK0001816:107,21-S1-_-y05-59996,OId_CX,2025-11-29,Banstead / Marks & Spencer,Victoria Road / Lavender Fields,tfl_21-S1-_-y05-59996.xml
