common_name,file_name,latitude,longitude,stop_id
Crawford Crescent (->S) Coulsdon,404-21-404-_-y05-2_1.xml,,,490002178Z
Shaftesbury Lane (->E) Coulsdon,404-21-404-_-y05-2_1.xml,,,490002177Z
Salter Close (->E) Coulsdon,404-21-404-_-y05-2_1.xml,,,490002176Z
Tullick Way (->E) Coulsdon,404-21-404-_-y05-2_1.xml,,,490002175Z
Lime Tree Avenue (->S) Coulsdon,404-21-404-_-y05-2_1.xml,,,490002174Z
Farthing Way (->N) Coulsdon,404-21-404-_-y05-2_1.xml,,,490002189Z
Coulsdon Town (Stop B) Coulsdon,404-21-404-_-y05-2_1.xml,,,490001253B
Coulsdon Library (Stop C) Coulsdon,404-21-404-_-y05-2_1.xml,,,490005637C
Lion Green Road (Stop D) Coulsdon,404-21-404-_-y05-2_1.xml,,,490009202D
Coulsdon South (Stop M) Coulsdon South,404-21-404-_-y05-2_1.xml,,,490001072M
Downs Road (Stop N) Coulsdon South,404-21-404-_-y05-2_1.xml,,,490006183H
Marlpit Lane (->N) Coulsdon South,404-21-404-_-y05-2_1.xml,,,490009684N
Nineacres Way (->E) Coulsdon South,404-21-404-_-y05-2_1.xml,,,490010285E
Coulsdon Wood (->E) Coulsdon South,404-21-404-_-y05-2_1.xml,,,490011820E
Aldercroft (->N1) Coulsdon South,404-21-404-_-y05-2_1.xml,,,49003176N1
Blueberry Gardens (->N) Coulsdon South,404-21-404-_-y05-2_1.xml,,,490004116N
Coulsdon Court Road (->S) Coulsdon South,404-21-404-_-y05-2_1.xml,,,490005639S
Oasis Academy Byron (->W) Old Coulsdon,404-21-404-_-y05-2_1.xml,,,490012649W
Coulsdon Rise (->S) Coulsdon South,404-21-404-_-y05-2_1.xml,,,490005641S
Army Reserve Centre (Stop F) Old Coulsdon,404-21-404-_-y05-2_1.xml,,,490013199E
Old Coulsdon / Tudor Rose (Stop H) Old Coulsdon,404-21-404-_-y05-2_1.xml,,,490010535S
The Crossways (Stop J) Old Coulsdon,404-21-404-_-y05-2_1.xml,,,490013317S2
Tollers Lane / Curling Close (->S) Old Coulsdon,404-21-404-_-y05-2_1.xml,,,490002184Z
Lacey Green / Goodenough Way (->W) Old Coulsdon,404-21-404-_-y05-2_1.xml,,,490002180Z
Middle Close (->W) Old Coulsdon,404-21-404-_-y05-2_1.xml,,,490002179Z
The Admirals Walk (->N) Old Coulsdon,404-21-404-_-y05-2_1.xml,,,490002181Z
Ellis Road (->E) Old Coulsdon,404-21-404-_-y05-2_1.xml,,,490002182Z
Lacey Green / Ellis Road (->E) Old Coulsdon,404-21-404-_-y05-2_1.xml,,,490002183Z
Tollers Lane / Drive Road (->N) Old Coulsdon,404-21-404-_-y05-2_1.xml,,,490002185Z
The Crossways (Stop M) Old Coulsdon,404-21-404-_-y05-2_1.xml,,,490015542S1
Keston Avenue (Stop P) Old Coulsdon,404-21-404-_-y05-2_1.xml,,,490005649E
The Glade / Keston Avenue (Stop R) Old Coulsdon,404-21-404-_-y05-2_1.xml,,,490008679N
The Glade (->E) Old Coulsdon,404-21-404-_-y05-2_1.xml,,,490015305W
