departure_time,file_name,journey_pattern_ref,journey_ticket_machine_code,line_ref,operator_ref,service_ref,vehicle_journey_code
06:25:00,404-21-404-_-y05-2_1.xml,JP15,2,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ1
06:55:00,404-21-404-_-y05-2_1.xml,JP15,4,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ2
07:10:00,404-21-404-_-y05-2_1.xml,JP11,1,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ3
07:25:00,404-21-404-_-y05-2_1.xml,JP15,6,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ4
07:40:00,404-21-404-_-y05-2_1.xml,JP11,3,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ5
07:55:00,404-21-404-_-y05-2_1.xml,JP15,8,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ6
08:10:00,404-21-404-_-y05-2_1.xml,JP11,5,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ7
08:25:00,404-21-404-_-y05-2_1.xml,JP18,10,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ8
08:40:00,404-21-404-_-y05-2_1.xml,JP11,7,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ9
08:55:00,404-21-404-_-y05-2_1.xml,JP18,12,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ10
09:10:00,404-21-404-_-y05-2_1.xml,JP12,9,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ11
09:25:00,404-21-404-_-y05-2_1.xml,JP7,14,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ12
09:40:00,404-21-404-_-y05-2_1.xml,JP13,11,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ13
09:55:00,404-21-404-_-y05-2_1.xml,JP7,16,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ14
10:10:00,404-21-404-_-y05-2_1.xml,JP3,13,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ15
10:25:00,404-21-404-_-y05-2_1.xml,JP7,18,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ16
10:40:00,404-21-404-_-y05-2_1.xml,JP3,15,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ17
10:55:00,404-21-404-_-y05-2_1.xml,JP7,20,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ18
11:10:00,404-21-404-_-y05-2_1.xml,JP3,17,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ19
11:25:00,404-21-404-_-y05-2_1.xml,JP7,22,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ20
11:40:00,404-21-404-_-y05-2_1.xml,JP3,19,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ21
11:55:00,404-21-404-_-y05-2_1.xml,JP7,24,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ22
12:10:00,404-21-404-_-y05-2_1.xml,JP3,21,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ23
12:25:00,404-21-404-_-y05-2_1.xml,JP7,26,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ24
12:40:00,404-21-404-_-y05-2_1.xml,JP3,23,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ25
12:55:00,404-21-404-_-y05-2_1.xml,JP7,28,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ26
13:10:00,404-21-404-_-y05-2_1.xml,JP3,25,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ27
13:25:00,404-21-404-_-y05-2_1.xml,JP7,30,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ28
13:40:00,404-21-404-_-y05-2_1.xml,JP3,27,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ29
13:55:00,404-21-404-_-y05-2_1.xml,JP7,32,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ30
14:10:00,404-21-404-_-y05-2_1.xml,JP3,29,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ31
14:25:00,404-21-404-_-y05-2_1.xml,JP7,34,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ32
14:40:00,404-21-404-_-y05-2_1.xml,JP3,31,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ33
14:55:00,404-21-404-_-y05-2_1.xml,JP7,36,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ34
15:10:00,404-21-404-_-y05-2_1.xml,JP3,33,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ35
15:25:00,404-21-404-_-y05-2_1.xml,JP7,38,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ36
15:40:00,404-21-404-_-y05-2_1.xml,JP3,35,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ37
15:55:00,404-21-404-_-y05-2_1.xml,JP7,40,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ38
16:10:00,404-21-404-_-y05-2_1.xml,JP3,37,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ39
16:25:00,404-21-404-_-y05-2_1.xml,JP7,42,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ40
16:40:00,404-21-404-_-y05-2_1.xml,JP3,39,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ41
16:55:00,404-21-404-_-y05-2_1.xml,JP16,44,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ42
17:10:00,404-21-404-_-y05-2_1.xml,JP14,41,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ43
17:25:00,404-21-404-_-y05-2_1.xml,JP16,46,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ44
17:40:00,404-21-404-_-y05-2_1.xml,JP17,43,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ45
17:55:00,404-21-404-_-y05-2_1.xml,JP19,48,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ46
18:10:00,404-21-404-_-y05-2_1.xml,JP11,45,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ47
18:25:00,404-21-404-_-y05-2_1.xml,JP15,50,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ48
18:40:00,404-21-404-_-y05-2_1.xml,JP11,47,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ49
18:55:00,404-21-404-_-y05-2_1.xml,JP15,52,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ50
19:10:00,404-21-404-_-y05-2_1.xml,JP11,49,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ51
06:25:00,404-21-404-_-y05-2_1.xml,JP5,2,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ52
06:25:00,404-21-404-_-y05-2_1.xml,JP5,2,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ53
06:54:00,404-21-404-_-y05-2_1.xml,JP6,4,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ54
06:54:00,404-21-404-_-y05-2_1.xml,JP6,4,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ55
07:10:00,404-21-404-_-y05-2_1.xml,JP1,1,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ56
07:10:00,404-21-404-_-y05-2_1.xml,JP1,1,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ57
07:24:00,404-21-404-_-y05-2_1.xml,JP6,6,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ58
07:24:00,404-21-404-_-y05-2_1.xml,JP6,6,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ59
07:40:00,404-21-404-_-y05-2_1.xml,JP1,3,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ60
07:40:00,404-21-404-_-y05-2_1.xml,JP1,3,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ61
07:54:00,404-21-404-_-y05-2_1.xml,JP6,8,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ62
07:54:00,404-21-404-_-y05-2_1.xml,JP6,8,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ63
08:10:00,404-21-404-_-y05-2_1.xml,JP1,5,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ64
08:10:00,404-21-404-_-y05-2_1.xml,JP1,5,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ65
08:24:00,404-21-404-_-y05-2_1.xml,JP6,10,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ66
08:24:00,404-21-404-_-y05-2_1.xml,JP6,10,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ67
08:40:00,404-21-404-_-y05-2_1.xml,JP1,7,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ68
08:40:00,404-21-404-_-y05-2_1.xml,JP1,7,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ69
08:54:00,404-21-404-_-y05-2_1.xml,JP5,12,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ70
08:54:00,404-21-404-_-y05-2_1.xml,JP5,12,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ71
09:10:00,404-21-404-_-y05-2_1.xml,JP2,9,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ72
09:10:00,404-21-404-_-y05-2_1.xml,JP2,9,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ73
09:24:00,404-21-404-_-y05-2_1.xml,JP7,14,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ74
09:24:00,404-21-404-_-y05-2_1.xml,JP7,14,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ75
09:40:00,404-21-404-_-y05-2_1.xml,JP3,11,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ76
09:40:00,404-21-404-_-y05-2_1.xml,JP3,11,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ77
09:54:00,404-21-404-_-y05-2_1.xml,JP7,16,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ78
09:54:00,404-21-404-_-y05-2_1.xml,JP7,16,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ79
10:10:00,404-21-404-_-y05-2_1.xml,JP3,13,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ80
